actor_name 	What are the most relevant _KEYWORD_ in _MOVIE_? 
original_title 	In how many _KEYWORD_ did _PEOPLE_ enter? 
original_title 	Russell Crowe has participated in how many _KEYWORD_? 
original_title 	During his _KEYWORD_, how many _KEYWORD_ did _PEOPLE_ direct? 
original_title 	How many _KEYWORD_ did _PEOPLE_ direct? 
original_title 	How many _KEYWORD_ has _PEOPLE_ directed? 
original_title 	How many _KEYWORD_ were directed by _PEOPLE_? 
original_title 	Tell me how many _KEYWORD_ were directed by _PEOPLE_. 
original_title 	Morgan Freeman participated in how many _KEYWORD_ during his _KEYWORD_? 
original_title 	What was the first movie in which _PEOPLE_ starred in? 
original_title 	With which movie did _PEOPLE_ start his _KEYWORD_ _KEYWORD_? 
original_title 	With which movie did _PEOPLE_ start her _KEYWORD_ _KEYWORD_? 
original_title 	What was the first movie to feature _PEOPLE_? 
original_title 	What was the first movie ever to have _PEOPLE_? 
original_title 	What was the first movie to be directed by _PEOPLE_? 
original_title 	Tom Hanks started his directing _KEYWORD_ with what movie? 
original_title 	What was the first movie directed by _PEOPLE_? 
original_title 	What was _PEOPLE_'s first movie? 
original_title 	In which _KEYWORD_ did _PEOPLE_ take _KEYWORD_ in? 
genre 	What are the genres of the movie _MOVIE_? 
genre 	The movie _MOVIE_ belongs to which genres? 
genre 	What kind of movie is _MOVIE_? 
genre 	To which genres does the movie _MOVIE_ belong? 
genre 	Tell me the genres of _MOVIE_. 
keyword 	What are the keywords for the movie _MOVIE_? 
keyword 	Keywords of _MOVIE_. 
keyword 	Tell me the keywords of _MOVIE_. 
keyword 	What are the most relevant words of _MOVIE_? 
keyword 	What are the keywords of _MOVIE_? 
person_name 	Which _KEYWORD_ directed _MOVIE_? 
person_name 	Who was _MOVIE_'s _KEYWORD_? 
person_name 	Show me the _KEYWORD_ of _MOVIE_. 
person_name 	Who was the _KEYWORD_ of _MOVIE_? 
person_name 	Who directed _MOVIE_? 
vote_avg 	What was the rating of _MOVIE_? 
vote_avg 	From 0 to 10, what was the average _KEYWORD_ given to _MOVIE_? 
vote_avg 	What was the rating given to the movie _MOVIE_? 
original_title 	What _KEYWORD_ did _PEOPLE_ direct? 
original_title 	Which _KEYWORD_ were made by _PEOPLE_? 
vote_avg 	In average, what was the rating given to the movie _MOVIE_? 
vote_avg 	What was the _KEYWORD_ average of _MOVIE_ Rises? 
original_title 	What is the latest movie in which _PEOPLE_ enters? 
original_title 	What is the latest movie featuring _PEOPLE_? 
original_title 	Most recent movie to feature _PEOPLE_? 
original_title 	What is the most recent movie where _PEOPLE_ can be seen? 
original_title 	What is the last movie in which _PEOPLE_ appears in? 
original_title 	What was the movie produced the longest _KEYWORD_ ago? 
actor_name 	How many _KEYWORD_ participated in _MOVIE_? 
actor_name 	Number of _KEYWORD_ in _MOVIE_? 
actor_name 	How many _KEYWORD_ played a role in _MOVIE_? 
actor_name 	What's the _CHARACTER_ of _KEYWORD_ involved in the making of _MOVIE_? 
actor_name 	The production of _MOVIE_ involved how many _KEYWORD_? 
character_name 	How many characters were in total in _MOVIE_? 
character_name 	How many characters entered the movie _MOVIE_? 
character_name 	In total, how many characters are there in _MOVIE_? 
character_name 	Show me the character _KEYWORD_ of _MOVIE_. 
character_name 	The movie _MOVIE_ has how many characters? 
original_title 	What was the most profitable movie of all _KEYWORD_? 
original_title 	What was the movie that generated the largest _KEYWORD_? 
original_title 	What was the movie that generated the largest _KEYWORD_ _KEYWORD_? 
original_title 	What movie made the smallest _KEYWORD_ _KEYWORD_? 
original_title 	Of all the _KEYWORD_ made, what was the one that generated the smallest revenue? 
original_title 	Movie that made the least _KEYWORD_? 
original_title 	Show me the longest movie on _KEYWORD_. 
original_title 	Movie with longest _KEYWORD_ _KEYWORD_? 
original_title 	Which movie has the longest _KEYWORD_-time? 
original_title 	From all the _KEYWORD_ made, what's the shortest one? 
original_title 	Which movie has the shortest _KEYWORD_ _KEYWORD_? 
original_title 	What movie received the best _KEYWORD_ average? 
original_title 	Out of all _KEYWORD_ produced, what is the one with the worst rating? 
original_title 	Which movie had the worst _KEYWORD_ average? 
production_company 	How many companies produced _MOVIE_? 
production_company 	How many companies were involved in the production of _MOVIE_? 
production_company 	The movie _MOVIE_ was produced by how many companies? 
production_company 	The production of _MOVIE_ involved how many companies? 
production_country 	In how many countries was _MOVIE_ _KEYWORD_? 
production_country 	King _CHARACTER_ was _KEYWORD_ in how many countries? 
production_country 	The movie _MOVIE_ was produced in how many countries? 
production_country 	The production of _MOVIE_ was made in how many countries? 
production_country 	What's the _CHARACTER_ of countries where _MOVIE_ was produced in? 
spoken_language 	How many different languages are spoken in _MOVIE_? 
spoken_language 	During the movie _MOVIE_, how many languages are used? 
spoken_language 	How many languages can be heard in _MOVIE_? 
spoken_language 	On the movie _MOVIE_, how many idioms can be heard? 
spoken_language 	What's the _CHARACTER_ of spoken languages in _MOVIE_? 
original_title 	In how many _KEYWORD_ did _PEOPLE_ _KEYWORD_ a _KEYWORD_ in? 
original_title 	Meryl Streep has participated in how many _KEYWORD_? 
